,sharpe,ann_return,ann_vol,max_drawdown,calmar,sortino,final_nav,total_turnover,total_tc,n_obs
60/40,0.9558880285622131,0.0991024281972589,0.10367577083931322,-0.27414235811117726,0.36149987502868247,1.2263824590481693,4.218636150619229,9.621505890262934,0.010339794391281841,3864.0
RiskParity,1.1766359361153995,0.056292770977028526,0.04784213132472912,-0.0896185489325535,0.6281374966179625,1.5253438447516336,2.3303950649788496,11.596866553211264,0.008482949093817718,3864.0
RandomRegime,0.8625151917363371,0.05629255813114381,0.06526558450271555,-0.15577271291897277,0.36137624540457947,1.133236230420398,2.284909198901999,147.82317622788543,0.10929534755814865,3864.0
HMM-EM,0.929221728740828,0.061220877956008904,0.0658840361373902,-0.1961481771802419,0.31211545697797954,1.1868293480539873,2.4716057858410765,70.05693375441646,0.058489882017416006,3864.0
BayesVI+PF,0.9483620935157847,0.05680133096270761,0.05989413890651483,-0.14818762611594116,0.383306841815973,1.2628789194268488,2.323056912317411,86.21106860235656,0.0637051287844296,3864.0
